name,stars,created_at,pushed_at,age_days,days_since_push,merged_prs,releases,closed_issues,open_issues,total_issues,closed_ratio,language
MetaCubeX/mihomo,33395,2021-05-20T11:06:33Z,2026-08-20T12:40:02Z,1918,0,323,62,1536,450,1986,0.7734,Python
AFNetworking/AFNetworking,33392,2011-05-31T21:28:44Z,2023-01-17T19:30:05Z,5560,1311,710,40,0,0,0,0.0,Objective-C
nicolargo/glances,33388,2011-12-04T08:49:15Z,2026-08-18T11:20:49Z,5373,2,829,61,2124,96,2220,0.9568,Python
lutzroeder/netron,33371,2010-12-26T12:53:43Z,2026-08-18T12:11:10Z,5716,2,1,9,1257,15,1272,0.9882,JavaScript
mckaywrigley/chatbot-ui,33342,2023-03-11T14:53:14Z,2024-08-03T00:38:07Z,1258,747,281,0,819,192,1011,0.8101,TypeScript
google/comprehensive-rust,33320,2022-12-21T15:17:24Z,2026-08-05T08:02:33Z,1338,15,2512,0,256,117,373,0.6863,Rust
remix-run/remix,33311,2020-10-26T19:57:28Z,2026-08-20T21:08:52Z,2124,0,4040,639,2747,29,2776,0.9896,TypeScript
motiondivision/motion,33297,2018-11-16T09:48:38Z,2026-08-20T09:50:40Z,2834,0,1285,0,1840,103,1943,0.947,TypeScript
alibaba/nacos,33286,2018-06-15T06:49:27Z,2026-08-20T13:04:48Z,2988,0,3897,98,9620,166,9786,0.983,Java
dgtlmoon/changedetection.io,33273,2021-01-27T16:03:30Z,2026-08-20T16:11:15Z,2031,0,1178,216,1432,313,1745,0.8206,Python
zeromicro/go-zero,33264,2020-08-07T15:37:57Z,2026-08-20T19:53:46Z,2204,0,2511,154,1888,107,1995,0.9464,Go
AlexsJones/llmfit,33263,2026-02-15T16:11:31Z,2026-08-20T13:43:00Z,186,0,462,128,190,49,239,0.795,Rust
waydabber/BetterDisplay,33257,2021-10-24T08:32:56Z,2026-08-18T21:57:21Z,1761,2,2,133,3070,219,3289,0.9334,
linshenkx/prompt-optimizer,33214,2025-02-12T06:06:49Z,2026-08-13T14:23:12Z,554,7,60,47,217,7,224,0.9688,TypeScript
certbot/certbot,33206,2014-11-12T02:52:20Z,2026-08-18T20:29:04Z,4299,2,4131,72,5450,122,5572,0.9781,Python
bilibili/ijkplayer,33195,2013-06-03T04:12:04Z,2024-08-13T00:53:33Z,4826,737,35,0,2545,2837,5382,0.4729,C
vbenjs/vue-vben-admin,33179,2020-07-11T02:29:21Z,2026-08-19T19:47:38Z,2231,1,1919,63,4068,69,4137,0.9833,Vue
qier222/YesPlayMusic,33176,2020-10-09T10:04:21Z,2026-06-14T12:57:40Z,2141,67,297,32,1203,646,1849,0.6506,Vue
Leey21/awesome-ai-research-writing,33163,2026-01-30T07:59:30Z,2026-08-19T02:47:43Z,202,1,0,0,21,5,26,0.8077,
cursor/cursor,33151,2023-03-12T00:19:42Z,2026-05-12T15:25:06Z,1257,100,49,0,0,0,0,0.0,
pear-devs/pear-desktop,33125,2019-04-19T18:14:40Z,2026-08-20T09:52:31Z,2680,0,1659,88,1535,544,2079,0.7383,TypeScript
datawhalechina/happy-llm,33095,2024-05-28T03:22:50Z,2026-08-08T17:18:48Z,814,12,30,3,81,53,134,0.6045,Jupyter Notebook
immutable-js/immutable-js,33040,2014-07-02T06:02:29Z,2026-08-17T09:22:33Z,4432,3,682,100,1177,99,1276,0.9224,TypeScript
binarywang/WxJava,33036,2016-01-06T08:24:05Z,2026-08-18T07:12:09Z,3879,2,1274,31,2520,11,2531,0.9957,Java
ibraheemdev/modern-unix,33018,2021-01-12T00:50:14Z,2024-09-10T19:48:56Z,2046,709,15,0,30,55,85,0.3529,
adobe/brackets,33012,2011-12-07T21:14:40Z,2022-06-12T08:19:24Z,5370,1530,4332,69,7063,2615,9678,0.7298,JavaScript
FreeCAD/FreeCAD,32973,2012-09-09T08:25:02Z,2026-08-20T12:51:28Z,5093,0,14486,115,9147,3523,12670,0.7219,C++
tokio-rs/tokio,32967,2016-09-09T22:31:36Z,2026-08-20T06:57:25Z,3631,0,4009,154,2367,317,2684,0.8819,Rust
gulpjs/gulp,32950,2013-07-04T05:26:06Z,2026-02-09T06:30:13Z,4795,192,412,24,1906,30,1936,0.9845,JavaScript
